MastC,Kclass,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
mast,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mast,1,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
mast,2,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
mast,3,45.7,43.8,45.7,52.0,65.3,89.8,127.2,151.2,127.2,89.8,65.3,52.0
mast,4,91.3,87.5,91.3,104.1,130.5,179.6,254.5,302.4,254.5,179.6,130.5,104.1
mast,5,415.9,571.8,771.3,1014.9,1296.0,1594.5,1871.9,2073.9,2148.6,2073.9,1871.9,1594.5
mast,6,128.3,114.6,128.3,172.8,258.4,396.7,567.5,657.8,567.5,396.7,258.4,172.8
nonmast,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonmast,1,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
nonmast,2,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
nonmast,3,45.7,43.8,45.7,52.0,65.3,89.8,127.2,151.2,127.2,89.8,65.3,52.0
nonmast,4,91.3,87.5,91.3,104.1,130.5,179.6,254.5,302.4,254.5,179.6,130.5,104.1
nonmast,5,18.3,17.5,18.3,20.8,26.1,35.9,50.9,60.5,50.9,35.9,26.1,20.8
nonmast,6,91.3,87.5,91.3,104.1,130.5,179.6,254.5,302.4,254.5,179.6,130.5,104.1
postmast,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postmast,1,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
postmast,2,35.4,35.0,35.4,36.8,40.1,47.7,66.0,85.9,66.0,47.7,40.1,36.8
postmast,3,45.7,43.8,45.7,52.0,65.3,89.8,127.2,151.2,127.2,89.8,65.3,52.0
postmast,4,91.3,87.5,91.3,104.1,130.5,179.6,254.5,302.4,254.5,179.6,130.5,104.1
postmast,5,1296.0,1014.9,771.3,571.8,415.9,300.1,220.7,174.4,50.9,35.9,26.1,20.8
postmast,6,91.3,87.5,91.3,104.1,130.5,179.6,254.5,302.4,254.5,179.6,130.5,104.1
